x
CR40712
Amnionless
Hsp70Aa
CR44999
CG8630
CG12984
CG13318
CR43429
CG10232
CG14075
CG13810
CR44322
CG16786
Drsl3
CG41106
Drep3
CR46081
Def
Akh
ppk25
Cpr49Ae
Edg78E
gammaTry
CG31469
CG9029
CG32266
Cht7
CG14949
CG34324
CG18404
CR45134
CG9682
Muc68D
Npc2f
CG14645
CG15890
CG33509
fon
pgant4
CG34220
Mlp60A
CG3906
CG5177
CG34396
CG10592
wupA
pre-mod(mdg4)-U
CG10000
CG31446
Mp20
CG32706
bw
l(2)efl
CG5783
CG3344
tup
ntc
deltaTry
CR43257
CG15536
Gpb5
CG32483
Ilp6
msd5
msd1
CG3842
CG43446
CG30287
Mlc2
Orcokinin
CG6362
CG3326
Nnf1a
PKD
Mlc1
slo
up
Act57B
ttm2
Ekar
CG18563
Dh31
CG6163
Jon65Aiii
CG8785
CG42394
Nnf1b
tap
E(spl)malpha-BFM
CR44898
pyr
CG32820
cu
Mink
NPF
Act87E
Oscillin
phr
Dim1
CG12338
