x
NPF
Orcokinin
CG34220
CG34324
Jon65Aiii
E(spl)malpha-BFM
Hsp26
Amnionless
Hsp23
cu
CG14645
Muc68D
CG18404
CG12643
CG6891
Hsromega
dUTPase
bw
Hsp22
CG18747
lin-28
ATPsynG
CG42394
ATPsynB
ATPsynO
Act57B
ND-ACP
wun2
CG15083
CG9682
His4r
COX4
His2Av
CG30415
CG34330
CG7630
CG15347
cype
Dcp-1
COX8
GstO3
CG13551
sun
CG3344
CG3726
levy
COX7C
deltaTry
ATPsyngamma
E(spl)mbeta-HLH
ND-SGDH
Cisd2
CR44898
dj-1beta
ND-30
CG5903
CG2852
ATPsynF
CG5835
COX7A
ATPsynD
ND-24
CG14207
Mlc2
ATPsyndelta
ATPsynE
ATPsynCF6
gammaTry
CG1572
COX6B
CG14075
CG9034
Nurf-38
CG42663
ND-19
puc
Hsp70Aa
CG5246
18SrRNA:CR41548
18SrRNA:CR45838
18SrRNA:CR45841
CR40712
Adk2
Mhc
LamC
Dph5
eIF-3p40
COX5B
ND-18
Neb-cGP
Mink
ox
Ef1beta
7B2
Ip259
PCNA
Ilp6
CG4781
COX5A
ND-20
