x
CR40712
Amnionless
Hsp70Aa
CR44999
CG8630
CG12984
CG13318
CR43429
CR44995
CG10232
CG14075
CR46081
Def
Akh
ppk25
gammaTry
CG31469
CG9029
CG32266
CG14949
CG34324
CG18404
CG9682
Muc68D
Npc2f
CG14645
CG33509
fon
pgant4
CG34220
Mlp60A
CG3906
CG5177
CG34396
CG10592
wupA
pre-mod(mdg4)-U
AGO3
CG10000
CG31446
Mp20
bw
l(2)efl
CG5783
CG3344
ntc
tup
deltaTry
CR43257
CG15536
Gpb5
CG32483
Ilp6
msd5
msd1
CG3842
CG43446
CG30287
Mlc2
Orcokinin
Nnf1a
CG6362
CG3326
prt
PKD
Mlc1
Act57B
slo
up
ttm2
Ekar
Dh31
Jon65Aiii
CG8785
CG42394
Nnf1b
tap
E(spl)malpha-BFM
pyr
CR44898
cu
Mink
NPF
CG10300
Act87E
Oscillin
phr
Dim1
CG12338
Mf
CG9121
CG9034
CG11353
Nup37
GstO1
pre-rRNA:CR45845
CG12643
CG7694
CR43463
tadr
