x
NPF
Orcokinin
Jon65Aiii
CG34324
Hsp26
E(spl)malpha-BFM
Amnionless
CG34220
Muc68D
cu
Hsp23
CG12643
CG14645
CG6891
bw
CG18747
dUTPase
Hsp22
CG18404
COX4
CG9682
wun2
Hsromega
lin-28
ATPsynB
CG15083
ATPsynO
CG2852
GstO3
ATPsyngamma
ATPsynG
CG3726
ND-ACP
Dcp-1
His2Av
Act57B
LamC
CG30415
E(spl)mbeta-HLH
Cisd2
Mlc2
CG1572
ATPsynF
Mhc
dj-1beta
CG15347
puc
CG34330
CG7630
CG14207
CG5903
ATPsyndelta
ATPsynD
His4r
cype
CG42394
CG42663
CG14075
Ilp6
CG5835
Mink
COX7A
COX8
ND-30
sun
CG3344
Adk2
Ef1beta
ATPsynE
COX7C
CG13551
CG42514
ND-SGDH
Ip259
Hmgcr
ND-24
levy
ND-19
Nurf-38
PCNA
COX6B
ND-PDSW
ND-18
eIF-3p40
CG5246
Dph5
CG6523
tko
beta-Man
emc
Neb-cGP
CG4267
CR44898
ATPsynCF6
CG15735
CG4781
CG13868
GstD1
Cyp9c1
Ahcy13
